STATION,LATITUDE,LONGITUDE,GRID_ROW,GRID_COL,DATA_POINTS,R2_TEMP,R2_MAX,R2_MIN
59072099999.0,24.8,112.37,171,100,31,0.4,0.28,-169.97
59082099999.0,24.67,113.6,166,142,31,0.65,0.53,-130.42
59087099999.0,23.88,113.52,137,140,31,0.6,0.58,-139.99
59096099999.0,24.37,114.48,156,172,31,0.68,0.61,-130.49
59117099999.0,24.28,116.07,154,226,31,0.69,0.59,-140.66
59278099999.0,23.05,112.47,106,104,31,0.62,0.46,-171.46
59287099999.0,23.39,113.3,119,132,31,0.71,0.58,-144.12
59293099999.0,23.8,114.73,135,181,31,0.76,0.67,-143.65
59316099999.0,23.4,116.68,122,248,31,0.51,0.58,-247.25
59456099999.0,22.35,110.93,80,51,31,0.58,0.7,-146.96
59493099999.0,22.64,113.81,91,150,31,0.66,0.73,-137.47
59501099999.0,22.78,115.37,97,204,31,0.59,0.65,-177.08
59658099999.0,21.22,110.4,38,32,31,0.39,0.34,-183.69
59663099999.0,21.87,111.97,61,87,31,0.65,0.7,-178.27
